company_code,vendor_id,invoice_document,fiscal_year,line_item,invoice_date,due_date,payment_terms,currency,amount,reference,line_item_text,vendor_country,priority,refundability_required,preferred_rail,allow_fallback,rtp_available,batch_id
3000,0000002001,5200001494,2025,001,2025-05-07,2025-06-21,N045,CAD,255080.74,PO45732188,Warehouse Storage,CA,normal,no,wire,yes,no,BATCH-E40
1000,0000002002,5200001495,2025,003,2025-06-13,2025-07-28,0002,CAD,800.48,PO45383778,Ocean Freight,CA,normal,no,card,yes,no,BATCH-E40
1000,0000002001,5200001496,2025,003,2025-05-04,2025-06-18,N045,CAD,24616.41,PO45811944,Container Handling,CA,normal,yes,ach,yes,no,BATCH-E40
1000,0000004002,5200001492,2025,002,2025-07-16,2025-08-30,N045,EUR,15792.53,PO45585887,Linehaul,DE,normal,no,auto,no,no,BATCH-E40
3000,0000005001,5200001498,2025,001,2025-05-12,2025-06-11,0001,GBP,9793.39,PO45249587,Ocean Freight,GB,normal,no,auto,no,no,BATCH-E40
3000,0000004002,5200001499,2025,003,2025-05-20,2025-07-19,Z060,EUR,34710.95,PO45341175,Port Fees,DE,normal,no,ach_same_day,no,no,BATCH-E40
2000,0000004002,5200001496,2025,003,2025-06-28,2025-08-27,Z060,EUR,17056.64,PO45648743,Ocean Freight,DE,normal,no,ach_same_day,yes,no,BATCH-E40
1000,0000004002,5200001496,2025,002,2025-05-20,2025-07-04,0002,EUR,6042.62,PO45194279,Linehaul,DE,low,no,wire,yes,no,BATCH-E40
1000,0000003002,5200001502,2025,002,2025-07-17,2025-08-16,N030,MXN,11077.07,PO45286048,Customs Brokerage,MX,low,no,wire,yes,no,BATCH-E40
1000,0000003001,5200001503,2025,002,2025-05-28,2025-05-04,N030,MXN,13520.4,PO45507925,Expedited Air Freight,MX,low,no,ach,no,no,BATCH-E40
1000,0000001002,5200001503,2025,002,2025-07-26,2025-08-25,N030,USD,946.78,PO45691607,Palletization,US,low,no,rtp,no,yes,BATCH-E40
2000,0000005001,5200001505,2025,001,2025-06-15,2025-07-30,0002,GBP,4924.38,PO45546284,Warehouse Storage,GB,low,no,ach_same_day,no,no,BATCH-E40
1000,0000003001,5200001506,2025,002,2025-08-05,2025-09-19,0002,MXN,12351.31,PO45396291,Drayage & Fuel,MX,low,yes,ach_same_day,yes,no,BATCH-E40
1000,0000001003,5200001507,2025,003,2025-07-16,2025-08-30,N045,USD,3220.41,PO45154660,Last-Mile Delivery,US,low,no,card,no,yes,BATCH-E40
2000,0000001003,5200001508,2025,001,2025-06-08,2025-07-08,0001,USD,12085.06,PO45259307,Linehaul,US,low,no,ach,no,yes,BATCH-E40
