company_code,vendor_id,invoice_document,fiscal_year,line_item,invoice_date,due_date,payment_terms,currency,amount,reference,line_item_text,vendor_country,priority,refundability_required,preferred_rail,allow_fallback,rtp_available,batch_id
1000,0000006002,5200008476,2025,001,2025-05-04,2025-06-03,0001,CNY,5029.74,PO45647875,Expedited Air Freight,CN,normal,no,rtp,no,no,BATCH-X60
3000,0000007001,5200008477,2025,002,2025-05-19,2025-07-03,0002,JPY,21553.77,PO45277644,Linehaul,JP,normal,no,ach_same_day,yes,no,BATCH-X60
2000,0000005001,5200008478,2025,001,2025-05-07,2025-06-21,0002,GBP,53487.17,PO45710965,Linehaul,GB,normal,no,rtp,yes,no,BATCH-X60
1000,0000007001,5200008479,2025,001,2025-06-10,2025-07-10,0001,JPY,53982.63,PO45955531,Expedited Air Freight,JP,normal,no,ach_same_day,no,no,BATCH-X60
2000,0000005001,5200008480,2025,003,2025-07-31,2025-09-29,Z060,GBP,13673.2,PO45424175,Palletization,GB,normal,no,card,no,no,BATCH-X60
1000,0000004002,5200008481,2025,002,2025-05-24,2025-06-23,0001,EUR,58307.07,PO45404821,Palletization,DE,normal,no,wire,no,no,BATCH-X60
2000,0000004002,5200008482,2025,002,2025-07-23,2025-08-22,0001,EUR,57693.1,PO45542789,Container Handling,DE,normal,yes,wire,yes,no,BATCH-X60
1000,0000003002,5200008483,2025,002,2025-05-05,2025-06-04,N030,MXN,40024.33,PO45458005,Customs Brokerage,MX,normal,no,ach,yes,no,BATCH-X60
1000,0000003001,5200008484,2025,003,2025-06-26,2025-08-10,N045,MXN,50260.75,PO45944040,Last-Mile Delivery,MX,normal,no,ach,no,no,BATCH-X60
1000,0000007001,5200008485,2025,001,2025-06-08,2025-07-23,N045,JPY,30537.37,PO45338313,Expedited Air Freight,JP,normal,no,card,yes,no,BATCH-X60
3000,0000004002,5200008486,2025,003,2025-06-01,2025-07-16,N045,EUR,36688.12,PO45322866,Customs Brokerage,DE,normal,no,auto,yes,no,BATCH-X60
3000,0000002001,5200008487,2025,003,2025-07-31,2025-09-29,Z060,CAD,9131.65,PO45115729,Palletization,CA,normal,no,card,yes,no,BATCH-X60
1000,0000002002,5200008488,2025,001,2025-07-11,2025-08-10,N030,CAD,48408.23,PO45895296,Warehouse Storage,CA,normal,no,ach,yes,no,BATCH-X60
1000,0000005001,5200008489,2025,002,2025-06-15,2025-07-30,N045,GBP,50739.61,PO45587026,Customs Brokerage,GB,normal,no,ach_same_day,yes,no,BATCH-X60
2000,0000004002,5200008490,2025,002,2025-05-04,2025-06-18,N045,EUR,15281.05,PO45987844,Palletization,DE,normal,no,ach_same_day,yes,no,BATCH-X60
2000,0000007001,5200008491,2025,003,2025-05-29,2025-06-28,0001,JPY,24577.41,PO45738089,Customs Brokerage,JP,normal,no,rtp,yes,no,BATCH-X60
1000,0000006002,5200008492,2025,002,2025-07-20,2025-09-03,0002,CNY,34090.72,PO45338713,Port Fees,CN,normal,yes,rtp,no,no,BATCH-X60
3000,0000002001,5200008493,2025,001,2025-08-06,2025-09-05,N030,CAD,54113.71,PO45995638,Port Fees,CA,normal,no,wire,yes,no,BATCH-X60
3000,0000004002,5200008494,2025,001,2025-08-08,2025-09-07,N030,EUR,45096.73,PO45190321,Palletization,DE,normal,no,card,no,no,BATCH-X60
2000,0000005001,5200008495,2025,002,2025-06-13,2025-08-12,Z060,GBP,44447.34,PO45970306,Expedited Air Freight,GB,normal,no,wire,yes,no,BATCH-X60
2000,0000003001,5200008496,2025,002,2025-08-06,2025-09-20,0002,MXN,703.18,PO45836876,Ocean Freight,MX,low,no,ach_same_day,yes,no,BATCH-X60
3000,0000003002,5200008497,2025,001,2025-05-22,2025-06-21,N030,MXN,5241.07,PO45197034,Last-Mile Delivery,MX,low,no,card,no,no,BATCH-X60
1000,0000006001,5200008498,2025,001,2025-07-30,2025-09-13,0002,CNY,137.9,PO45825116,Expedited Air Freight,CN,low,no,ach,no,no,BATCH-X60
1000,0000007001,5200008499,2025,003,2025-05-31,2025-06-30,N030,JPY,9459.56,PO45223701,Ocean Freight,JP,low,no,rtp,yes,no,BATCH-X60
3000,0000005001,5200008500,2025,001,2025-05-15,2025-06-14,N030,GBP,234.95,PO45610246,Last-Mile Delivery,GB,low,no,auto,yes,no,BATCH-X60
2000,0000004001,5200008501,2025,002,2025-05-15,2025-06-29,0002,EUR,4900.84,PO45591425,Port Fees,DE,low,no,ach_same_day,no,no,BATCH-X60
3000,0000006001,5200008502,2025,002,2025-05-11,2025-06-10,N030,CNY,14704.24,PO45691033,Warehouse Storage,CN,low,yes,auto,no,no,BATCH-X60
2000,0000004002,5200008503,2025,001,2025-06-15,2025-07-15,0001,EUR,9685.38,PO45758237,Port Fees,DE,low,no,card,no,no,BATCH-X60
1000,0000002001,5200008504,2025,002,2025-05-19,2025-06-18,N030,CAD,5549.92,PO45769097,Ocean Freight,CA,low,no,card,yes,no,BATCH-X60
3000,0000007001,5200008505,2025,002,2025-06-18,2025-08-02,0002,JPY,9727.21,PO45473551,Container Handling,JP,low,no,ach,no,no,BATCH-X60
3000,0000004001,5200008506,2025,001,2025-05-08,2025-06-07,0001,EUR,1653.18,PO45941780,Palletization,DE,low,yes,auto,yes,no,BATCH-X60
2000,0000004001,5200008507,2025,003,2025-07-14,2025-08-13,0001,EUR,2171.22,PO45338550,Customs Brokerage,DE,low,yes,ach,no,no,BATCH-X60
