company_code,vendor_id,invoice_document,fiscal_year,line_item,invoice_date,due_date,payment_terms,currency,amount,reference,line_item_text,vendor_country,priority,refundability_required,preferred_rail,allow_fallback,rtp_available,batch_id
2000,0000005001,5200005328,2025,003,2025-05-21,2025-07-05,0002,GBP,4767.63,PO45128887,Customs Brokerage,GB,urgent,no,wire,no,no,BATCH-C200
3000,0000006002,5200005329,2025,002,2025-07-24,2025-08-23,N030,CNY,832.79,PO45674919,Customs Brokerage,CN,urgent,no,auto,yes,no,BATCH-C200
3000,0000005001,5200005330,2025,002,2025-05-25,2025-07-09,0002,GBP,231.57,PO45323115,Warehouse Storage,GB,urgent,no,wire,yes,no,BATCH-C200
2000,0000003002,5200005331,2025,001,2025-05-08,2025-06-07,N030,MXN,4319.21,PO45794655,Port Fees,MX,urgent,no,wire,no,no,BATCH-C200
3000,0000001003,5200005332,2025,001,2025-06-26,2025-08-10,0002,USD,2960.21,PO45913735,Customs Brokerage,US,urgent,yes,ach,yes,yes,BATCH-C200
3000,0000002001,5200005333,2025,002,2025-07-27,2025-09-25,Z060,CAD,2594.41,PO45605924,Drayage & Fuel,CA,urgent,no,wire,yes,no,BATCH-C200
1000,0000002002,5200005334,2025,003,2025-06-27,2025-08-26,Z060,CAD,230.97,PO45166447,Expedited Air Freight,CA,urgent,no,ach_same_day,yes,no,BATCH-C200
2000,0000003002,5200005335,2025,002,2025-07-04,2025-08-18,0002,MXN,3386.32,PO45372202,Ocean Freight,MX,urgent,no,ach,no,no,BATCH-C200
2000,0000001002,5200005336,2025,002,2025-05-10,2025-06-24,0002,USD,2113.19,PO45323021,Warehouse Storage,US,urgent,no,auto,yes,yes,BATCH-C200
1000,0000001005,5200005337,2025,002,2025-05-29,2025-06-28,0001,USD,1971.81,PO45610929,Customs Brokerage,US,urgent,no,card,yes,yes,BATCH-C200
3000,0000002002,5200005338,2025,002,2025-06-13,2025-07-28,N045,CAD,1020.0,PO45433998,Drayage & Fuel,CA,urgent,no,card,no,no,BATCH-C200
2000,0000003002,5200005339,2025,003,2025-05-03,2025-06-17,N045,MXN,1658.04,PO45754234,Warehouse Storage,MX,urgent,no,wire,yes,no,BATCH-C200
1000,0000004001,5200005340,2025,002,2025-05-06,2025-06-20,0002,EUR,1371.1,PO45235848,Palletization,DE,urgent,yes,card,no,no,BATCH-C200
1000,0000003002,5200005341,2025,003,2025-07-03,2025-08-02,N030,MXN,520.47,PO45160320,Customs Brokerage,MX,urgent,no,rtp,yes,no,BATCH-C200
1000,0000004001,5200005342,2025,001,2025-07-17,2025-08-31,0002,EUR,413.13,PO45227588,Expedited Air Freight,DE,urgent,yes,auto,no,no,BATCH-C200
2000,0000006002,5200005343,2025,003,2025-05-31,2025-06-30,0001,CNY,4655.3,PO45374617,Linehaul,CN,urgent,no,ach,yes,no,BATCH-C200
3000,0000001005,5200005344,2025,001,2025-06-07,2025-07-22,N045,USD,2450.42,PO45286541,Warehouse Storage,US,urgent,no,ach_same_day,yes,yes,BATCH-C200
1000,0000006002,5200005345,2025,003,2025-05-25,2025-07-24,Z060,CNY,58546.99,PO45568771,Drayage & Fuel,CN,high,yes,card,no,no,BATCH-C200
3000,0000006002,5200005346,2025,003,2025-06-09,2025-07-24,0002,CNY,117945.54,PO45459351,Last-Mile Delivery,CN,high,yes,card,yes,no,BATCH-C200
2000,0000001001,5200005347,2025,001,2025-05-10,2025-06-09,N030,USD,53396.66,PO45158092,Drayage & Fuel,US,high,no,card,no,yes,BATCH-C200
3000,0000001004,5200005348,2025,001,2025-06-28,2025-08-12,0002,USD,21431.35,PO45567480,Linehaul,US,high,no,ach_same_day,no,yes,BATCH-C200
3000,0000004001,5200005349,2025,001,2025-06-15,2025-07-30,0002,EUR,3125.06,PO45500164,Drayage & Fuel,DE,high,no,rtp,no,no,BATCH-C200
1000,0000003002,5200005350,2025,001,2025-06-03,2025-07-03,0001,MXN,19832.22,PO45715305,Linehaul,MX,high,no,rtp,yes,no,BATCH-C200
2000,0000007001,5200005351,2025,003,2025-08-05,2025-09-19,0002,JPY,79932.61,PO45850773,Port Fees,JP,high,yes,rtp,no,no,BATCH-C200
1000,0000001005,5200005352,2025,003,2025-05-19,2025-06-18,0001,USD,99508.29,PO45849743,Ocean Freight,US,high,no,card,no,yes,BATCH-C200
3000,0000006001,5200005353,2025,001,2025-07-27,2025-09-25,Z060,CNY,96362.16,PO45845732,Last-Mile Delivery,CN,high,no,auto,yes,no,BATCH-C200
1000,0000004002,5200005354,2025,001,2025-06-18,2025-08-02,N045,EUR,68347.69,PO45758261,Linehaul,DE,high,yes,card,yes,no,BATCH-C200
2000,0000001001,5200005355,2025,001,2025-08-04,2025-10-03,Z060,USD,108049.34,PO45196408,Ocean Freight,US,high,no,auto,no,yes,BATCH-C200
1000,0000003002,5200005356,2025,001,2025-08-03,2025-09-17,N045,MXN,60792.01,PO45501143,Drayage & Fuel,MX,high,no,rtp,no,no,BATCH-C200
3000,0000004002,5200005357,2025,001,2025-07-16,2025-08-30,0002,EUR,41817.43,PO45783183,Warehouse Storage,DE,high,no,wire,yes,no,BATCH-C200
2000,0000001001,5200005358,2025,003,2025-05-13,2025-06-27,0002,USD,82057.8,PO45404985,Ocean Freight,US,high,yes,ach_same_day,no,yes,BATCH-C200
2000,0000006002,5200005359,2025,001,2025-06-09,2025-07-09,0001,CNY,112541.76,PO45118354,Warehouse Storage,CN,high,yes,rtp,yes,no,BATCH-C200
2000,0000003002,5200005360,2025,001,2025-07-14,2025-08-13,0001,MXN,19583.66,PO45649522,Warehouse Storage,MX,high,no,ach_same_day,yes,no,BATCH-C200
1000,0000005001,5200005361,2025,002,2025-07-02,2025-08-16,N045,GBP,5905.63,PO45103764,Expedited Air Freight,GB,high,yes,card,no,no,BATCH-C200
2000,0000004002,5200005362,2025,002,2025-06-10,2025-07-10,0001,EUR,101307.03,PO45101825,Container Handling,DE,high,no,ach_same_day,no,no,BATCH-C200
1000,0000004001,5200005363,2025,002,2025-06-17,2025-07-17,0001,EUR,48969.23,PO45717796,Drayage & Fuel,DE,high,no,ach_same_day,no,no,BATCH-C200
1000,0000004001,5200005364,2025,003,2025-05-20,2025-07-04,0002,EUR,116611.52,PO45557431,Ocean Freight,DE,high,no,ach_same_day,yes,no,BATCH-C200
2000,0000005001,5200005365,2025,003,2025-07-10,2025-08-24,0002,GBP,87189.99,PO45151879,Palletization,GB,high,no,rtp,yes,no,BATCH-C200
2000,0000001001,5200005366,2025,003,2025-05-17,2025-07-01,0002,USD,58245.54,PO45460356,Warehouse Storage,US,high,no,ach_same_day,no,yes,BATCH-C200
2000,0000006001,5200005367,2025,003,2025-07-25,2025-09-08,N045,CNY,17009.88,PO45774449,Customs Brokerage,CN,high,yes,auto,yes,no,BATCH-C200
3000,0000001004,5200005368,2025,002,2025-08-06,2025-09-20,N045,USD,53008.49,PO45674394,Last-Mile Delivery,US,high,no,ach,yes,yes,BATCH-C200
2000,0000003002,5200005369,2025,002,2025-06-03,2025-08-02,Z060,MXN,26650.6,PO45121057,Palletization,MX,high,no,rtp,no,no,BATCH-C200
2000,0000002001,5200005370,2025,002,2025-06-05,2025-08-04,Z060,CAD,116219.18,PO45231988,Ocean Freight,CA,high,no,wire,yes,no,BATCH-C200
2000,0000005001,5200005371,2025,003,2025-06-27,2025-08-11,N045,GBP,114611.4,PO45989909,Linehaul,GB,high,yes,ach,yes,no,BATCH-C200
3000,0000006001,5200005372,2025,002,2025-07-15,2025-08-29,N045,CNY,3020.91,PO45510539,Ocean Freight,CN,high,no,rtp,no,no,BATCH-C200
1000,0000006002,5200005373,2025,003,2025-05-14,2025-06-28,N045,CNY,12945.4,PO45914598,Linehaul,CN,high,no,auto,yes,no,BATCH-C200
3000,0000004001,5200005374,2025,001,2025-07-20,2025-08-19,N030,EUR,64805.62,PO45558679,Drayage & Fuel,DE,high,no,auto,yes,no,BATCH-C200
3000,0000004001,5200005375,2025,001,2025-08-10,2025-10-09,Z060,EUR,3134.79,PO45663584,Warehouse Storage,DE,high,no,rtp,no,no,BATCH-C200
3000,0000006002,5200005376,2025,002,2025-07-07,2025-08-21,0002,CNY,66999.26,PO45130703,Palletization,CN,high,no,card,no,no,BATCH-C200
1000,0000001004,5200005377,2025,003,2025-07-22,2025-09-05,N045,USD,12487.77,PO45338908,Palletization,US,high,yes,ach_same_day,yes,yes,BATCH-C200
1000,0000005001,5200005378,2025,002,2025-07-27,2025-09-10,N045,GBP,26175.32,PO45935782,Warehouse Storage,GB,high,no,card,yes,no,BATCH-C200
2000,0000003002,5200005379,2025,001,2025-06-29,2025-08-13,0002,MXN,34007.57,PO45409259,Drayage & Fuel,MX,high,no,wire,no,no,BATCH-C200
1000,0000003001,5200005380,2025,003,2025-05-08,2025-07-07,Z060,MXN,20126.82,PO45512572,Linehaul,MX,high,no,ach,yes,no,BATCH-C200
2000,0000001001,5200005381,2025,001,2025-06-20,2025-08-04,N045,USD,108085.59,PO45429462,Drayage & Fuel,US,high,no,auto,yes,yes,BATCH-C200
1000,0000001003,5200005382,2025,003,2025-08-04,2025-09-18,N045,USD,6731.56,PO45796705,Palletization,US,high,yes,ach_same_day,no,yes,BATCH-C200
1000,0000004001,5200005383,2025,001,2025-06-14,2025-07-29,N045,EUR,114795.24,PO45229717,Ocean Freight,DE,high,no,ach,no,no,BATCH-C200
2000,0000006002,5200005384,2025,001,2025-05-07,2025-06-21,N045,CNY,25898.75,PO45667834,Expedited Air Freight,CN,high,no,ach,no,no,BATCH-C200
3000,0000007001,5200005385,2025,003,2025-06-22,2025-08-06,0002,JPY,97983.47,PO45903909,Palletization,JP,high,no,auto,no,no,BATCH-C200
2000,0000001002,5200005386,2025,001,2025-06-02,2025-07-17,0002,USD,90432.56,PO45735034,Container Handling,US,high,no,ach_same_day,no,yes,BATCH-C200
3000,0000004002,5200005387,2025,002,2025-06-08,2025-07-08,0001,EUR,87423.93,PO45724498,Drayage & Fuel,DE,high,no,auto,yes,no,BATCH-C200
2000,0000005001,5200005388,2025,002,2025-08-10,2025-09-09,N030,GBP,109884.64,PO45954379,Expedited Air Freight,GB,high,no,ach,no,no,BATCH-C200
1000,0000006001,5200005389,2025,002,2025-07-28,2025-09-11,0002,CNY,74048.75,PO45443723,Container Handling,CN,high,no,rtp,no,no,BATCH-C200
3000,0000001004,5200005390,2025,001,2025-06-01,2025-07-16,N045,USD,10573.76,PO45135508,Expedited Air Freight,US,high,no,wire,no,yes,BATCH-C200
2000,0000002002,5200005391,2025,002,2025-07-19,2025-08-18,0001,CAD,27375.9,PO45541513,Expedited Air Freight,CA,high,no,card,no,no,BATCH-C200
1000,0000001003,5200005392,2025,003,2025-07-26,2025-09-09,0002,USD,90513.31,PO45988130,Drayage & Fuel,US,high,no,ach_same_day,no,yes,BATCH-C200
3000,0000001005,5200005393,2025,003,2025-06-03,2025-07-18,0002,USD,54409.54,PO45294758,Last-Mile Delivery,US,high,no,ach,yes,yes,BATCH-C200
3000,0000005001,5200005394,2025,002,2025-06-01,2025-07-31,Z060,GBP,64578.12,PO45781197,Drayage & Fuel,GB,high,no,card,no,no,BATCH-C200
1000,0000001001,5200005395,2025,001,2025-06-27,2025-07-27,N030,USD,2901.53,PO45407943,Last-Mile Delivery,US,normal,no,auto,yes,yes,BATCH-C200
3000,0000006002,5200005396,2025,001,2025-06-17,2025-08-16,Z060,CNY,52034.58,PO45570930,Port Fees,CN,normal,no,ach_same_day,yes,no,BATCH-C200
3000,0000004001,5200005397,2025,002,2025-05-28,2025-06-27,0001,EUR,22438.16,PO45248236,Linehaul,DE,normal,no,ach,no,no,BATCH-C200
3000,0000005001,5200005398,2025,001,2025-05-02,2025-06-01,N030,GBP,24835.2,PO45489870,Customs Brokerage,GB,normal,no,wire,no,no,BATCH-C200
1000,0000001001,5200005399,2025,003,2025-07-01,2025-07-31,0001,USD,24786.12,PO45934502,Palletization,US,normal,no,card,yes,yes,BATCH-C200
3000,0000001003,5200005400,2025,002,2025-06-22,2025-07-22,N030,USD,40234.75,PO45538142,Linehaul,US,normal,yes,ach_same_day,no,yes,BATCH-C200
2000,0000001001,5200005401,2025,002,2025-07-22,2025-09-05,0002,USD,23748.5,PO45524645,Last-Mile Delivery,US,normal,no,auto,no,yes,BATCH-C200
2000,0000001002,5200005402,2025,002,2025-07-13,2025-08-12,N030,USD,27923.92,PO45270440,Customs Brokerage,US,normal,no,auto,yes,yes,BATCH-C200
3000,0000006001,5200005403,2025,001,2025-07-13,2025-09-11,Z060,CNY,55670.04,PO45873061,Ocean Freight,CN,normal,no,ach,yes,no,BATCH-C200
2000,0000001003,5200005404,2025,001,2025-05-14,2025-06-28,N045,USD,29685.32,PO45943908,Last-Mile Delivery,US,normal,no,ach_same_day,yes,yes,BATCH-C200
2000,0000005001,5200005405,2025,001,2025-07-31,2025-09-29,Z060,GBP,41448.89,PO45268061,Last-Mile Delivery,GB,normal,no,wire,no,no,BATCH-C200
2000,0000001003,5200005406,2025,001,2025-06-21,2025-08-20,Z060,USD,9810.49,PO45476656,Drayage & Fuel,US,normal,no,ach,yes,yes,BATCH-C200
1000,0000007001,5200005407,2025,003,2025-05-05,2025-06-04,N030,JPY,7505.0,PO45728642,Expedited Air Freight,JP,normal,yes,wire,no,no,BATCH-C200
2000,0000005001,5200005408,2025,003,2025-06-17,2025-08-01,N045,GBP,30462.91,PO45287447,Linehaul,GB,normal,yes,auto,no,no,BATCH-C200
1000,0000003001,5200005409,2025,002,2025-05-23,2025-07-07,N045,MXN,24320.37,PO45170381,Customs Brokerage,MX,normal,no,ach_same_day,no,no,BATCH-C200
1000,0000006001,5200005410,2025,003,2025-07-24,2025-08-23,0001,CNY,2918.77,PO45236599,Drayage & Fuel,CN,normal,no,card,no,no,BATCH-C200
1000,0000006001,5200005411,2025,002,2025-07-23,2025-09-06,0002,CNY,2038.46,PO45169605,Port Fees,CN,normal,no,card,yes,no,BATCH-C200
1000,0000007001,5200005412,2025,001,2025-07-27,2025-09-10,0002,JPY,4398.21,PO45467942,Port Fees,JP,normal,no,ach_same_day,yes,no,BATCH-C200
3000,0000001005,5200005413,2025,002,2025-05-19,2025-06-18,N030,USD,30381.97,PO45603429,Last-Mile Delivery,US,normal,no,wire,no,yes,BATCH-C200
2000,0000003001,5200005414,2025,002,2025-05-21,2025-06-20,N030,MXN,40940.96,PO45495146,Customs Brokerage,MX,normal,no,ach_same_day,yes,no,BATCH-C200
3000,0000006002,5200005415,2025,002,2025-07-11,2025-09-09,Z060,CNY,35012.6,PO45209690,Warehouse Storage,CN,normal,no,wire,no,no,BATCH-C200
2000,0000002002,5200005416,2025,003,2025-05-19,2025-06-18,N030,CAD,20184.32,PO45185338,Expedited Air Freight,CA,normal,no,ach,yes,no,BATCH-C200
2000,0000006002,5200005417,2025,002,2025-07-21,2025-09-19,Z060,CNY,55743.32,PO45427836,Linehaul,CN,normal,no,card,yes,no,BATCH-C200
1000,0000001005,5200005418,2025,002,2025-06-23,2025-08-22,Z060,USD,22163.89,PO45150097,Customs Brokerage,US,normal,no,rtp,yes,yes,BATCH-C200
1000,0000004002,5200005419,2025,002,2025-05-14,2025-07-13,Z060,EUR,21750.52,PO45335152,Palletization,DE,normal,no,wire,no,no,BATCH-C200
1000,0000002001,5200005420,2025,002,2025-05-21,2025-07-05,0002,CAD,1339.67,PO45940436,Last-Mile Delivery,CA,normal,yes,card,yes,no,BATCH-C200
1000,0000001002,5200005421,2025,003,2025-08-09,2025-09-08,N030,USD,24416.2,PO45377075,Linehaul,US,normal,yes,auto,no,yes,BATCH-C200
3000,0000007001,5200005422,2025,002,2025-06-01,2025-07-16,0002,JPY,54258.46,PO45146139,Linehaul,JP,normal,yes,wire,yes,no,BATCH-C200
1000,0000002002,5200005423,2025,001,2025-07-18,2025-09-16,Z060,CAD,39579.59,PO45306840,Customs Brokerage,CA,normal,yes,rtp,yes,no,BATCH-C200
3000,0000001003,5200005424,2025,001,2025-06-08,2025-07-08,0001,USD,59646.65,PO45859489,Expedited Air Freight,US,normal,yes,card,yes,yes,BATCH-C200
2000,0000005001,5200005425,2025,001,2025-08-03,2025-09-17,N045,GBP,10935.81,PO45210395,Warehouse Storage,GB,normal,no,ach,yes,no,BATCH-C200
2000,0000007001,5200005426,2025,003,2025-06-03,2025-07-03,0001,JPY,16326.27,PO45680688,Palletization,JP,normal,no,card,no,no,BATCH-C200
3000,0000007001,5200005427,2025,001,2025-05-11,2025-07-10,Z060,JPY,1406.05,PO45373016,Last-Mile Delivery,JP,normal,no,card,yes,no,BATCH-C200
3000,0000005001,5200005428,2025,002,2025-07-16,2025-08-30,0002,GBP,23077.21,PO45993311,Ocean Freight,GB,normal,no,rtp,no,no,BATCH-C200
1000,0000002002,5200005429,2025,001,2025-07-13,2025-08-12,N030,CAD,47457.54,PO45510583,Port Fees,CA,normal,no,wire,yes,no,BATCH-C200
1000,0000002002,5200005430,2025,003,2025-05-21,2025-06-20,N030,CAD,58655.78,PO45834778,Linehaul,CA,normal,no,auto,yes,no,BATCH-C200
3000,0000004002,5200005431,2025,003,2025-05-09,2025-06-08,0001,EUR,4413.03,PO45719155,Container Handling,DE,normal,yes,ach,yes,no,BATCH-C200
1000,0000002002,5200005432,2025,001,2025-05-05,2025-06-04,0001,CAD,49591.09,PO45762214,Warehouse Storage,CA,normal,no,rtp,yes,no,BATCH-C200
1000,0000006001,5200005433,2025,001,2025-06-07,2025-07-07,N030,CNY,20522.69,PO45373845,Linehaul,CN,normal,no,ach_same_day,no,no,BATCH-C200
1000,0000005001,5200005434,2025,002,2025-08-07,2025-10-06,Z060,GBP,30472.37,PO45992733,Warehouse Storage,GB,normal,yes,wire,yes,no,BATCH-C200
1000,0000002002,5200005435,2025,001,2025-06-14,2025-07-29,N045,CAD,42427.24,PO45664008,Port Fees,CA,normal,no,ach,yes,no,BATCH-C200
1000,0000003002,5200005436,2025,002,2025-08-06,2025-09-05,0001,MXN,759.52,PO45614665,Drayage & Fuel,MX,normal,yes,rtp,yes,no,BATCH-C200
3000,0000002001,5200005437,2025,003,2025-06-03,2025-08-02,Z060,CAD,56660.26,PO45397512,Last-Mile Delivery,CA,normal,yes,card,yes,no,BATCH-C200
1000,0000001002,5200005438,2025,001,2025-07-02,2025-08-31,Z060,USD,47322.52,PO45758434,Container Handling,US,normal,yes,ach_same_day,yes,yes,BATCH-C200
2000,0000007001,5200005439,2025,001,2025-06-24,2025-07-24,0001,JPY,22631.02,PO45417866,Warehouse Storage,JP,normal,yes,rtp,yes,no,BATCH-C200
3000,0000001004,5200005440,2025,001,2025-07-08,2025-09-06,Z060,USD,45391.3,PO45889566,Port Fees,US,normal,no,card,yes,yes,BATCH-C200
3000,0000002001,5200005441,2025,002,2025-07-24,2025-09-22,Z060,CAD,44648.24,PO45277786,Expedited Air Freight,CA,normal,no,rtp,no,no,BATCH-C200
1000,0000002001,5200005442,2025,003,2025-05-31,2025-07-30,Z060,CAD,11898.64,PO45416153,Port Fees,CA,normal,no,ach,yes,no,BATCH-C200
3000,0000002001,5200005443,2025,002,2025-05-21,2025-07-05,0002,CAD,20020.47,PO45298467,Warehouse Storage,CA,normal,no,card,yes,no,BATCH-C200
3000,0000003001,5200005444,2025,001,2025-08-10,2025-09-09,N030,MXN,44130.91,PO45556049,Warehouse Storage,MX,normal,no,ach,yes,no,BATCH-C200
2000,0000001004,5200005445,2025,002,2025-05-05,2025-06-04,0001,USD,24241.76,PO45929428,Palletization,US,normal,no,card,yes,yes,BATCH-C200
2000,0000007001,5200005446,2025,003,2025-06-21,2025-07-21,0001,JPY,44586.27,PO45994321,Palletization,JP,normal,no,card,no,no,BATCH-C200
3000,0000005001,5200005447,2025,003,2025-07-29,2025-09-27,Z060,GBP,51220.42,PO45812608,Customs Brokerage,GB,normal,yes,card,yes,no,BATCH-C200
2000,0000002002,5200005448,2025,002,2025-06-01,2025-07-16,N045,CAD,42932.45,PO45760198,Customs Brokerage,CA,normal,yes,ach_same_day,no,no,BATCH-C200
2000,0000001001,5200005449,2025,002,2025-07-06,2025-08-20,0002,USD,53722.42,PO45443989,Linehaul,US,normal,no,rtp,no,yes,BATCH-C200
1000,0000001005,5200005450,2025,001,2025-07-31,2025-09-14,0002,USD,31393.59,PO45205997,Port Fees,US,normal,yes,rtp,yes,yes,BATCH-C200
3000,0000001001,5200005451,2025,002,2025-07-06,2025-08-05,N030,USD,24915.74,PO45579104,Last-Mile Delivery,US,normal,yes,card,yes,yes,BATCH-C200
3000,0000006001,5200005452,2025,003,2025-07-18,2025-08-17,N030,CNY,38435.34,PO45364721,Warehouse Storage,CN,normal,no,rtp,no,no,BATCH-C200
1000,0000001002,5200005453,2025,002,2025-07-20,2025-08-19,N030,USD,35020.43,PO45214565,Last-Mile Delivery,US,normal,no,ach_same_day,no,yes,BATCH-C200
2000,0000003001,5200005454,2025,001,2025-07-21,2025-09-04,0002,MXN,28414.94,PO45689356,Last-Mile Delivery,MX,normal,yes,ach,no,no,BATCH-C200
2000,0000001005,5200005455,2025,003,2025-05-17,2025-07-01,N045,USD,21607.4,PO45991991,Last-Mile Delivery,US,normal,no,ach_same_day,no,yes,BATCH-C200
2000,0000002001,5200005456,2025,003,2025-06-05,2025-07-05,N030,CAD,15075.55,PO45416481,Container Handling,CA,normal,yes,rtp,no,no,BATCH-C200
3000,0000004002,5200005457,2025,001,2025-06-08,2025-07-23,N045,EUR,3895.24,PO45968115,Port Fees,DE,normal,no,ach_same_day,yes,no,BATCH-C200
3000,0000002001,5200005458,2025,001,2025-05-10,2025-06-09,N030,CAD,15376.58,PO45206442,Port Fees,CA,normal,no,ach,yes,no,BATCH-C200
2000,0000002001,5200005459,2025,001,2025-06-21,2025-08-20,Z060,CAD,10490.81,PO45821447,Port Fees,CA,normal,no,auto,no,no,BATCH-C200
2000,0000002002,5200005460,2025,003,2025-06-26,2025-07-26,0001,CAD,33526.3,PO45377342,Palletization,CA,normal,yes,ach,yes,no,BATCH-C200
2000,0000006001,5200005461,2025,001,2025-07-29,2025-09-12,N045,CNY,15170.71,PO45272612,Ocean Freight,CN,normal,no,wire,yes,no,BATCH-C200
2000,0000003001,5200005462,2025,002,2025-07-25,2025-08-24,N030,MXN,50513.67,PO45493171,Palletization,MX,normal,no,rtp,yes,no,BATCH-C200
3000,0000002001,5200005463,2025,001,2025-05-03,2025-07-02,Z060,CAD,3229.28,PO45872319,Container Handling,CA,normal,yes,auto,no,no,BATCH-C200
1000,0000005001,5200005464,2025,003,2025-05-17,2025-06-16,N030,GBP,6120.69,PO45791036,Container Handling,GB,normal,no,ach_same_day,no,no,BATCH-C200
2000,0000004001,5200005465,2025,003,2025-05-07,2025-06-06,N030,EUR,4428.6,PO45967942,Expedited Air Freight,DE,low,no,rtp,no,no,BATCH-C200
3000,0000002001,5200005466,2025,003,2025-07-03,2025-08-02,0001,CAD,4996.9,PO45432497,Warehouse Storage,CA,low,no,ach,yes,no,BATCH-C200
2000,0000005001,5200005467,2025,002,2025-07-09,2025-09-07,Z060,GBP,793.01,PO45414998,Drayage & Fuel,GB,low,no,auto,yes,no,BATCH-C200
2000,0000004001,5200005468,2025,001,2025-08-09,2025-10-08,Z060,EUR,13651.84,PO45741455,Palletization,DE,low,no,wire,yes,no,BATCH-C200
1000,0000001001,5200005469,2025,002,2025-07-20,2025-09-03,0002,USD,1565.36,PO45290104,Linehaul,US,low,no,rtp,yes,yes,BATCH-C200
2000,0000006002,5200005470,2025,002,2025-07-11,2025-08-10,N030,CNY,12943.63,PO45293752,Palletization,CN,low,no,auto,no,no,BATCH-C200
2000,0000004001,5200005471,2025,001,2025-07-03,2025-09-01,Z060,EUR,7856.2,PO45964819,Drayage & Fuel,DE,low,yes,rtp,no,no,BATCH-C200
